component,powertrain,size,euro_class,value
Methane,ICEV-g,13m-city-double,2,0.391517607
Nitrogen oxides,ICEV-d,9m,2,0.37661469
Nitrogen oxides,ICEV-d,13m-city,2,0.37661469
Nitrogen oxides,ICEV-d,18m,1,0.364909367
Nitrogen oxides,ICEV-d,13m-city-double,1,0.364909367
Hydrocarbon,ICEV-g,13m-city-double,3,0.359162045
Hydrocarbon,ICEV-g,18m,3,0.359162045
Nitrogen oxides,ICEV-g,13m-coach,6,0.354329735
Nitrogen oxides,ICEV-d,13m-city,1,0.352808356
Nitrogen oxides,ICEV-d,9m,1,0.352808356
Hydrocarbon,ICEV-g,13m-coach-double,5,0.343881965
Nitrogen dioxide,ICEV-g,13m-coach-double,5,0.331359774
Methane,ICEV-g,18m,3,0.330429099
Methane,ICEV-g,13m-city-double,3,0.330429099
Nitrogen oxides,ICEV-d,18m,3,0.321787638
Nitrogen oxides,ICEV-d,13m-city-double,3,0.321787638
Hydrocarbon,ICEV-g,13m-city,2,0.319218382
Hydrocarbon,ICEV-g,9m,2,0.319218382
Nitrogen oxides,ICEV-d,9m,3,0.318308773
Nitrogen oxides,ICEV-d,13m-city,3,0.318308773
Methane,ICEV-g,13m-coach-double,5,0.316371411
Nitrogen oxides,ICEV-d,18m,0,0.297023716
Nitrogen oxides,ICEV-d,13m-city-double,0,0.297023716
Hydrocarbon,ICEV-g,13m-coach,5,0.294681042
Methane,ICEV-g,13m-city,2,0.29368092
Methane,ICEV-g,9m,2,0.29368092
Nitrogen dioxide,ICEV-g,13m-coach,5,0.283950478
Methane,ICEV-g,13m-coach,5,0.271106571
Hydrocarbon,ICEV-g,13m-city,3,0.263082593
Hydrocarbon,ICEV-g,9m,3,0.263082593
Carbon monoxide,ICEV-d,13m-coach-double,6,0.258233607
Hydrocarbon,ICEV-g,13m-coach-double,4,0.25032869
Carbon monoxide,ICEV-d,13m-coach,6,0.244870484
Methane,ICEV-g,13m-city,3,0.242036001
Methane,ICEV-g,9m,3,0.242036001
Nitrogen dioxide,ICEV-g,18m,2,0.235746141
Nitrogen dioxide,ICEV-g,13m-city-double,2,0.235746141
Nitrogen oxides,ICEV-d,9m,0,0.231275009
Nitrogen oxides,ICEV-d,13m-city,0,0.231275009
Methane,ICEV-g,13m-coach-double,4,0.230302393
Particulate matters 2.5,ICEV-g,13m-coach-double,3,0.22968629
Particulate matters 2.5,ICEV-d,13m-coach-double,3,0.226481259
Nitrogen dioxide,ICEV-g,9m,2,0.226313106
Nitrogen dioxide,ICEV-g,13m-city,2,0.226313106
Hydrocarbon,ICEV-g,13m-coach,4,0.217845887
Particulate matters 2.5,ICEV-g,13m-coach-double,2,0.21581836
Carbon monoxide,ICEV-g,13m-city,3,0.211065975
Carbon monoxide,ICEV-g,9m,3,0.211065975
Particulate matters 2.5,ICEV-d,13m-coach-double,2,0.206879184
Carbon monoxide,ICEV-g,9m,2,0.206866872
Carbon monoxide,ICEV-g,13m-city,2,0.206866872
Particulate matters 2.5,ICEV-g,13m-coach,3,0.204868734
Particulate matters 2.5,ICEV-d,13m-coach,3,0.202010006
Methane,ICEV-g,13m-coach,4,0.200418219
Carbon monoxide,ICEV-g,18m,3,0.193363755
Carbon monoxide,ICEV-g,13m-city-double,3,0.193363755
Nitrogen dioxide,ICEV-g,18m,3,0.192667878
Nitrogen dioxide,ICEV-g,13m-city-double,3,0.192667878
Nitrogen dioxide,ICEV-g,13m-city,3,0.190584952
Nitrogen dioxide,ICEV-g,9m,3,0.190584952
Particulate matters 2.5,ICEV-g,13m-coach,2,0.187757641
Particulate matters 2.5,ICEV-d,13m-coach,2,0.17998074
Carbon monoxide,ICEV-g,18m,2,0.173170226
Carbon monoxide,ICEV-g,13m-city-double,2,0.173170226
Hydrocarbon,ICEV-g,13m-coach-double,6,0.164714128
Nitrogen dioxide,ICEV-g,9m,4,0.161931196
Nitrogen dioxide,ICEV-g,13m-city,4,0.161931196
Nitrogen dioxide,ICEV-g,18m,4,0.15771492
Nitrogen dioxide,ICEV-g,13m-city-double,4,0.15771492
Methane,ICEV-g,13m-coach-double,6,0.151537001
Hydrocarbon,ICEV-g,13m-coach,6,0.141432971
Nitrogen oxides,ICEV-d,13m-city-double,5,0.133289421
Nitrogen oxides,ICEV-d,18m,5,0.133289421
Nitrogen oxides,ICEV-d,13m-city,5,0.13088603
Nitrogen oxides,ICEV-d,9m,5,0.13088603
Methane,ICEV-g,13m-coach,6,0.13011834
Nitrogen oxides,ICEV-d,13m-city-double,4,0.129505554
Nitrogen oxides,ICEV-d,18m,4,0.129505554
Nitrogen oxides,ICEV-d,9m,4,0.126523929
Nitrogen oxides,ICEV-d,13m-city,4,0.126523929
Hydrocarbon,ICEV-d,13m-coach-double,5,0.125164345
Carbon monoxide,ICEV-d,13m-city,0,0.123453401
Carbon monoxide,ICEV-d,9m,0,0.123453401
Non-methane hydrocarbon,ICEV-d,13m-coach-double,5,0.122160397
Hydrocarbon,ICEV-d,13m-coach,5,0.108922943
Carbon monoxide,ICEV-g,13m-city-double,4,0.108101542
Carbon monoxide,ICEV-g,18m,4,0.108101542
Carbon monoxide,ICEV-d,13m-city,1,0.106495208
Carbon monoxide,ICEV-d,9m,1,0.106495208
Non-methane hydrocarbon,ICEV-d,13m-coach,5,0.106308796
Carbon monoxide,ICEV-g,9m,4,0.10464252
Carbon monoxide,ICEV-g,13m-city,4,0.10464252
Nitrogen dioxide,ICEV-g,13m-coach-double,6,0.103163905
Nitrogen dioxide,ICEV-d,18m,2,0.09807813
Nitrogen dioxide,ICEV-d,13m-city-double,2,0.09807813
Carbon monoxide,ICEV-d,18m,0,0.096552333
Carbon monoxide,ICEV-d,13m-city-double,0,0.096552333
Nitrogen dioxide,ICEV-d,13m-city-double,3,0.096536291
Nitrogen dioxide,ICEV-d,18m,3,0.096536291
Nitrogen dioxide,ICEV-d,13m-city,3,0.095492633
Nitrogen dioxide,ICEV-d,9m,3,0.095492633
Carbon monoxide,ICEV-d,9m,3,0.095124091
Carbon monoxide,ICEV-d,13m-city,3,0.095124091
Nitrogen oxides,ICEV-g,18m,5,0.094725032
Nitrogen oxides,ICEV-g,13m-city-double,5,0.094725032
Nitrogen oxides,ICEV-g,13m-city,5,0.094725025
Nitrogen oxides,ICEV-g,9m,5,0.094725025
Carbon monoxide,ICEV-d,18m,1,0.094663117
Carbon monoxide,ICEV-d,13m-city-double,1,0.094663117
Nitrogen dioxide,ICEV-d,13m-city,2,0.094153673
Nitrogen dioxide,ICEV-d,9m,2,0.094153673
Carbon monoxide,ICEV-d,9m,2,0.092567261
Carbon monoxide,ICEV-d,13m-city,2,0.092567261
Nitrogen dioxide,ICEV-d,18m,1,0.091227342
Nitrogen dioxide,ICEV-d,13m-city-double,1,0.091227342
Nitrogen dioxide,ICEV-g,13m-coach,6,0.088582434
Nitrogen dioxide,ICEV-d,13m-city,1,0.088202089
Nitrogen dioxide,ICEV-d,9m,1,0.088202089
Carbon monoxide,ICEV-d,18m,3,0.087145982
Carbon monoxide,ICEV-d,13m-city-double,3,0.087145982
Nitrogen oxides,ICEV-d,18m,6,0.080545571
Nitrogen oxides,ICEV-d,13m-city-double,6,0.080545571
Carbon monoxide,ICEV-d,18m,2,0.077488936
Carbon monoxide,ICEV-d,13m-city-double,2,0.077488936
Non-methane hydrocarbon,ICEV-g,13m-coach-double,1,0.0770806
Nitrogen oxides,ICEV-d,13m-city,6,0.075477491
Nitrogen oxides,ICEV-d,9m,6,0.075477491
Hydrocarbon,ICEV-d,13m-coach-double,4,0.069460995
Non-methane hydrocarbon,ICEV-g,13m-coach,1,0.068829551
Non-methane hydrocarbon,ICEV-d,13m-coach-double,4,0.067793928
Particulate matters 2.5,ICEV-d,13m-coach-double,4,0.062355071
Particulate matters 2.5,ICEV-d,13m-coach-double,5,0.062340822
Hydrocarbon,ICEV-d,13m-coach,4,0.060006935
Hydrocarbon,ICEV-g,13m-city-double,4,0.058805866
Hydrocarbon,ICEV-g,18m,4,0.058805866
Non-methane hydrocarbon,ICEV-d,13m-coach,4,0.058566771
Particulate matters 2.5,ICEV-d,13m-coach,5,0.058432166
Particulate matters 2.5,ICEV-d,13m-coach,4,0.058071751
Particulate matters 2.5,ICEV-g,13m-coach-double,4,0.054450836
Methane,ICEV-g,18m,4,0.054101399
Methane,ICEV-g,13m-city-double,4,0.054101399
Carbon monoxide,ICEV-g,13m-city,5,0.052087488
Carbon monoxide,ICEV-g,9m,5,0.052087488
Carbon monoxide,ICEV-g,13m-city-double,5,0.052087485
Carbon monoxide,ICEV-g,18m,5,0.052087485
Hydrocarbon,ICEV-g,9m,4,0.050247575
Hydrocarbon,ICEV-g,13m-city,4,0.050247575
Hydrocarbon,ICEV-d,13m-city,0,0.050119494
Hydrocarbon,ICEV-d,9m,0,0.050119494
Particulate matters 2.5,ICEV-g,13m-coach,4,0.049982052
Non-methane hydrocarbon,ICEV-d,9m,0,0.048916625
Non-methane hydrocarbon,ICEV-d,13m-city,0,0.048916625
Methane,ICEV-g,9m,4,0.046227773
Methane,ICEV-g,13m-city,4,0.046227773
Carbon monoxide,ICEV-g,13m-city-double,6,0.045409837
Carbon monoxide,ICEV-g,13m-city,6,0.045409837
Carbon monoxide,ICEV-g,9m,6,0.045409837
Carbon monoxide,ICEV-g,18m,6,0.045409837
Non-methane hydrocarbon,ICEV-g,13m-coach-double,2,0.044906147
Carbon monoxide,ICEV-d,9m,4,0.044752812
Carbon monoxide,ICEV-d,13m-city,4,0.044752812
Carbon monoxide,ICEV-d,18m,4,0.044141488
Carbon monoxide,ICEV-d,13m-city-double,4,0.044141488
Hydrocarbon,ICEV-d,13m-coach-double,6,0.041874636
Carbon monoxide,ICEV-d,13m-city,5,0.04148555
Carbon monoxide,ICEV-d,9m,5,0.04148555
Carbon monoxide,ICEV-d,18m,5,0.041254346
Carbon monoxide,ICEV-d,13m-city-double,5,0.041254346
Non-methane hydrocarbon,ICEV-d,13m-coach-double,6,0.040869646
Non-methane hydrocarbon,ICEV-g,13m-coach,2,0.040245615
Non-methane hydrocarbon,ICEV-g,13m-coach-double,3,0.03991035
Dinitrogen oxide,ICEV-d,13m-coach,5,0.037825439
Dinitrogen oxide,ICEV-d,13m-coach-double,5,0.037825439
Hydrocarbon,ICEV-d,13m-coach,6,0.036838766
Non-methane hydrocarbon,ICEV-g,13m-coach,3,0.036398072
Dinitrogen oxide,ICEV-d,13m-coach,6,0.0363838
Dinitrogen oxide,ICEV-d,13m-coach-double,6,0.0363838
Non-methane hydrocarbon,ICEV-d,13m-coach,6,0.035954636
Non-methane hydrocarbon,ICEV-g,18m,2,0.034045007
Non-methane hydrocarbon,ICEV-g,13m-city-double,2,0.034045007
Nitrogen dioxide,ICEV-d,18m,5,0.033322355
Nitrogen dioxide,ICEV-d,13m-city-double,5,0.033322355
Carbon monoxide,ICEV-d,13m-city-double,6,0.033276816
Carbon monoxide,ICEV-d,18m,6,0.033276816
Hydrocarbon,ICEV-d,13m-city-double,0,0.033061946
Hydrocarbon,ICEV-d,18m,0,0.033061946
Nitrogen dioxide,ICEV-d,9m,5,0.032721507
Nitrogen dioxide,ICEV-d,13m-city,5,0.032721507
Nitrogen dioxide,ICEV-d,18m,4,0.032376389
Nitrogen dioxide,ICEV-d,13m-city-double,4,0.032376389
Non-methane hydrocarbon,ICEV-d,18m,0,0.032268459
Non-methane hydrocarbon,ICEV-d,13m-city-double,0,0.032268459
Carbon monoxide,ICEV-d,9m,6,0.031753066
Carbon monoxide,ICEV-d,13m-city,6,0.031753066
Nitrogen dioxide,ICEV-d,13m-city,4,0.031630982
Nitrogen dioxide,ICEV-d,9m,4,0.031630982
Nitrogen oxides,ICEV-g,13m-city-double,6,0.030144679
Nitrogen oxides,ICEV-g,18m,6,0.030144679
Nitrogen oxides,ICEV-g,13m-city,6,0.030144677
Nitrogen oxides,ICEV-g,9m,6,0.030144677
Hydrocarbon,ICEV-d,18m,1,0.02875761
Hydrocarbon,ICEV-d,13m-city-double,1,0.02875761
Non-methane hydrocarbon,ICEV-g,18m,3,0.028732964
Non-methane hydrocarbon,ICEV-g,13m-city-double,3,0.028732964
Non-methane hydrocarbon,ICEV-d,13m-city-double,1,0.028067428
Non-methane hydrocarbon,ICEV-d,18m,1,0.028067428
Non-methane hydrocarbon,ICEV-g,13m-coach-double,5,0.027510557
Non-methane hydrocarbon,ICEV-g,9m,2,0.02553747
Non-methane hydrocarbon,ICEV-g,13m-city,2,0.02553747
Hydrocarbon,ICEV-g,18m,5,0.024576181
Hydrocarbon,ICEV-g,13m-city-double,5,0.024576181
Hydrocarbon,ICEV-g,9m,5,0.024576179
Hydrocarbon,ICEV-g,13m-city,5,0.024576179
Nitrogen dioxide,ICEV-g,18m,5,0.023681258
Nitrogen dioxide,ICEV-g,13m-city-double,5,0.023681258
Nitrogen dioxide,ICEV-g,9m,5,0.023681256
Nitrogen dioxide,ICEV-g,13m-city,5,0.023681256
Non-methane hydrocarbon,ICEV-g,13m-coach,5,0.023574483
Methane,ICEV-g,9m,5,0.022610087
Methane,ICEV-g,13m-city,5,0.022610087
Methane,ICEV-g,18m,5,0.022610086
Methane,ICEV-g,13m-city-double,5,0.022610086
Nitrogen dioxide,ICEV-d,18m,6,0.022552759
Nitrogen dioxide,ICEV-d,13m-city-double,6,0.022552759
Hydrocarbon,ICEV-d,9m,1,0.021230525
Hydrocarbon,ICEV-d,13m-city,1,0.021230525
Nitrogen dioxide,ICEV-d,13m-city,6,0.021133698
Nitrogen dioxide,ICEV-d,9m,6,0.021133698
Non-methane hydrocarbon,ICEV-g,13m-city,3,0.021046608
Non-methane hydrocarbon,ICEV-g,9m,3,0.021046608
Nitrogen dioxide,ICEV-d,13m-city-double,0,0.020791661
Nitrogen dioxide,ICEV-d,18m,0,0.020791661
Non-methane hydrocarbon,ICEV-d,13m-city,1,0.020720993
Non-methane hydrocarbon,ICEV-d,9m,1,0.020720993
Methane,ICEV-d,13m-coach-double,1,0.020617139
Non-methane hydrocarbon,ICEV-g,13m-coach-double,4,0.020026295
Particulate matters 2.5,ICEV-d,9m,0,0.018981233
Particulate matters 2.5,ICEV-d,13m-city,0,0.018981233
Methane,ICEV-d,13m-coach,1,0.018410189
Particulate matters 2.5,ICEV-d,18m,1,0.018344536
Particulate matters 2.5,ICEV-d,13m-city-double,1,0.018344536
Hydrocarbon,ICEV-d,18m,2,0.018275932
Hydrocarbon,ICEV-d,13m-city-double,2,0.018275932
Non-methane hydrocarbon,ICEV-d,13m-city-double,2,0.017837311
Non-methane hydrocarbon,ICEV-d,18m,2,0.017837311
Particulate matters 2.5,ICEV-d,9m,1,0.0177441
Particulate matters 2.5,ICEV-d,13m-city,1,0.0177441
Non-methane hydrocarbon,ICEV-g,13m-coach,4,0.017427672
Nitrogen dioxide,ICEV-d,9m,0,0.016189252
Nitrogen dioxide,ICEV-d,13m-city,0,0.016189252
Hydrocarbon,ICEV-d,13m-city-double,3,0.015907756
Hydrocarbon,ICEV-d,18m,3,0.015907756
Non-methane hydrocarbon,ICEV-d,13m-city-double,3,0.01552597
Non-methane hydrocarbon,ICEV-d,18m,3,0.01552597
Benzene,ICEV-d,13m-coach-double,1,0.014346092
Particulate matters 2.5,ICEV-d,18m,0,0.013948896
Particulate matters 2.5,ICEV-d,13m-city-double,0,0.013948896
Hydrocarbon,ICEV-d,13m-city,2,0.013708943
Hydrocarbon,ICEV-d,9m,2,0.013708943
Particulate matters 2.5,ICEV-d,13m-coach-double,6,0.013707838
Non-methane hydrocarbon,ICEV-d,9m,2,0.013379928
Non-methane hydrocarbon,ICEV-d,13m-city,2,0.013379928
Non-methane hydrocarbon,ICEV-g,13m-coach-double,6,0.013177129
Dinitrogen oxide,ICEV-d,13m-coach-double,4,0.013020847
Dinitrogen oxide,ICEV-d,13m-coach,4,0.013020847
Benzene,ICEV-d,13m-coach,1,0.012810422
Methane,ICEV-d,13m-coach-double,2,0.012604801
Particulate matters 2.5,ICEV-d,13m-coach,6,0.012423153
Ammonia,ICEV-d,13m-coach-double,6,0.012394339
Hydrocarbon,ICEV-g,13m-city-double,6,0.012032441
Hydrocarbon,ICEV-g,13m-city,6,0.012032441
Hydrocarbon,ICEV-g,18m,6,0.012032441
Hydrocarbon,ICEV-g,9m,6,0.012032441
Hydrocarbon,ICEV-d,13m-city,3,0.011652271
Hydrocarbon,ICEV-d,9m,3,0.011652271
Methane,ICEV-d,13m-coach-double,3,0.011553621
Non-methane hydrocarbon,ICEV-d,9m,3,0.011372617
Non-methane hydrocarbon,ICEV-d,13m-city,3,0.011372617
Non-methane hydrocarbon,ICEV-g,13m-coach,6,0.011314638
Methane,ICEV-d,13m-coach,2,0.011296626
Methane,ICEV-g,13m-city-double,6,0.011069846
Methane,ICEV-g,18m,6,0.011069846
Methane,ICEV-g,9m,6,0.011069845
Methane,ICEV-g,13m-city,6,0.011069845
Ammonia,ICEV-d,13m-coach,5,0.011
Ammonia,ICEV-d,13m-coach-double,5,0.011
Ammonia,ICEV-d,13m-coach,6,0.010802997
Methane,ICEV-d,13m-coach,3,0.010536853
Particulate matters 2.5,ICEV-d,13m-city,2,0.010247204
Particulate matters 2.5,ICEV-d,9m,2,0.010247204
Particulate matters 2.5,ICEV-d,13m-city-double,2,0.008789285
Particulate matters 2.5,ICEV-d,18m,2,0.008789285
Benzene,ICEV-d,13m-coach-double,2,0.00877084
Dinitrogen oxide,ICEV-d,13m-coach-double,1,0.008648003
Dinitrogen oxide,ICEV-d,13m-coach,1,0.008648003
Dinitrogen oxide,ICEV-d,13m-coach-double,2,0.008400653
Dinitrogen oxide,ICEV-d,13m-coach,2,0.008400653
Benzene,ICEV-d,13m-coach-double,3,0.008039394
Particulate matters 2.5,ICEV-d,13m-city-double,3,0.008011221
Particulate matters 2.5,ICEV-d,18m,3,0.008011221
Benzene,ICEV-d,13m-coach,2,0.007860568
Nitrogen dioxide,ICEV-g,13m-city-double,6,0.00753617
Nitrogen dioxide,ICEV-g,18m,6,0.00753617
Nitrogen dioxide,ICEV-g,13m-city,6,0.007536169
Nitrogen dioxide,ICEV-g,9m,6,0.007536169
Particulate matters 2.5,ICEV-d,9m,3,0.007429126
Particulate matters 2.5,ICEV-d,13m-city,3,0.007429126
Benzene,ICEV-d,13m-coach,3,0.007331893
Particulate matters 2.5,ICEV-g,13m-coach-double,5,0.005686893
Particulate matters 2.5,ICEV-g,13m-coach-double,6,0.005563615
Particulate matters 2.5,ICEV-g,13m-coach,5,0.00487324
Particulate matters 2.5,ICEV-g,13m-coach,6,0.004777239
Dinitrogen oxide,ICEV-d,13m-coach-double,3,0.00475265
Dinitrogen oxide,ICEV-d,13m-coach,3,0.00475265
Non-methane hydrocarbon,ICEV-g,13m-city-double,4,0.004704469
Non-methane hydrocarbon,ICEV-g,18m,4,0.004704469
Non-methane hydrocarbon,ICEV-g,13m-city,4,0.004019806
Non-methane hydrocarbon,ICEV-g,9m,4,0.004019806
Methane,ICEV-d,13m-coach-double,5,0.003003944
Ammonia,ICEV-d,13m-coach-double,1,0.0029
Ammonia,ICEV-d,13m-coach,1,0.0029
Ammonia,ICEV-d,13m-coach-double,4,0.0029
Ammonia,ICEV-d,13m-coach,4,0.0029
Ammonia,ICEV-d,13m-coach-double,3,0.0029
Ammonia,ICEV-d,13m-coach,3,0.0029
Ammonia,ICEV-d,13m-coach-double,2,0.0029
Ammonia,ICEV-d,13m-coach,2,0.0029
Methane,ICEV-d,13m-coach,5,0.002614151
Benzene,ICEV-d,13m-coach-double,5,0.002090244
Non-methane hydrocarbon,ICEV-g,18m,5,0.001966094
Non-methane hydrocarbon,ICEV-g,13m-city,5,0.001966094
Non-methane hydrocarbon,ICEV-g,13m-city-double,5,0.001966094
Non-methane hydrocarbon,ICEV-g,9m,5,0.001966094
Particulate matters 2.5,ICEV-g,9m,2,0.001940835
Particulate matters 2.5,ICEV-g,13m-city,2,0.001940835
Benzene,ICEV-d,13m-coach,5,0.001819013
Methane,ICEV-d,13m-coach-double,4,0.001667064
Particulate matters 2.5,ICEV-g,18m,2,0.001664703
Particulate matters 2.5,ICEV-g,13m-city-double,2,0.001664703
Particulate matters 2.5,ICEV-g,13m-city-double,3,0.001475071
Particulate matters 2.5,ICEV-g,18m,3,0.001475071
Hydrocarbon,ICEV-d,13m-city-double,5,0.001472121
Hydrocarbon,ICEV-d,18m,5,0.001472121
Methane,ICEV-d,13m-coach,4,0.001440166
Non-methane hydrocarbon,ICEV-d,18m,5,0.00143679
Non-methane hydrocarbon,ICEV-d,13m-city-double,5,0.00143679
Particulate matters 2.5,ICEV-g,9m,3,0.001367893
Particulate matters 2.5,ICEV-g,13m-city,3,0.001367893
Hydrocarbon,ICEV-d,9m,5,0.001219288
Hydrocarbon,ICEV-d,13m-city,5,0.001219288
Methane,ICEV-d,13m-city,0,0.001202868
Methane,ICEV-d,9m,0,0.001202868
Non-methane hydrocarbon,ICEV-d,13m-city,5,0.001190026
